,antelope_duiker,bird,blank,civet_genet,hog,leopard,monkey_prosimian,rodent
ZJ016488,0.091354385,0.009901246,0.18721938,0.5440944,0.025448931,0.058266215,0.007591455,0.07612398
ZJ016489,0.51279515,0.10012831,0.07106623,0.006292161,0.04769367,0.0055013313,0.24050452,0.01601864
ZJ016490,0.4866499,0.042496044,0.18872859,0.06603592,0.107273646,0.025825866,0.056106687,0.026883345
ZJ016491,0.00464426,0.0046788757,0.031689964,0.0075029796,0.06931147,0.876777,0.0014447538,0.0039506922
ZJ016492,0.34470287,0.2226273,0.07415866,0.0015674445,0.018225592,0.004114316,0.31383884,0.020764917
ZJ016493,0.4070917,0.15333325,0.1344849,0.0060504423,0.032915488,0.0074458974,0.21662746,0.042050824
ZJ016494,0.21585481,0.07669919,0.23517863,0.005408536,0.043083936,0.03067875,0.3613581,0.03173803
ZJ016495,0.22259706,0.095255874,0.14302833,0.0050399485,0.077858,0.03208882,0.4033397,0.020792143
ZJ016496,0.2905798,0.11796908,0.19406553,0.009919411,0.021657474,0.011869215,0.27587858,0.07806097
ZJ016497,0.29343808,0.15094092,0.11773041,0.003224728,0.11436471,0.025961254,0.24723539,0.047104526
ZJ016498,0.2658114,0.23290077,0.14617305,0.0034862312,0.069069535,0.046663363,0.21365215,0.022243513
ZJ016499,0.2979513,0.20937231,0.13902494,0.0047549405,0.06238977,0.018110573,0.23806225,0.03033382
ZJ016500,0.35091048,0.067407496,0.2884691,0.020720152,0.05852563,0.059257846,0.110870264,0.043839034
ZJ016501,0.15186399,0.013602034,0.25574547,0.20319125,0.07466669,0.058508642,0.012180013,0.23024186
ZJ016502,0.21033552,0.025973307,0.28479928,0.12764996,0.06542844,0.042062808,0.020733057,0.22301759
ZJ016503,0.19979925,0.2508,0.1526233,0.006936523,0.012292142,0.0037885865,0.29726964,0.0764905
ZJ016504,0.46153086,0.1636698,0.13710354,0.00788283,0.054127548,0.008928827,0.079605855,0.08715065
ZJ016505,0.33869588,0.036361936,0.22964805,0.17643249,0.054937806,0.023700941,0.018622886,0.12160009
ZJ016506,0.13261126,0.07115557,0.36409763,0.0033565713,0.019665068,0.07120807,0.31405032,0.023855582
ZJ016507,0.26966035,0.07760582,0.33088276,0.004995101,0.044808283,0.030051319,0.2181049,0.02389145
ZJ016508,0.23801248,0.03881809,0.3892931,0.053816017,0.036058016,0.029075637,0.04005224,0.17487437
ZJ016509,0.36672986,0.06039623,0.20052013,0.013718462,0.017848207,0.0045757894,0.07058191,0.26562938
ZJ016510,0.3378808,0.041077558,0.21087818,0.07940535,0.039049294,0.008350259,0.05197374,0.23138484
ZJ016511,0.3522463,0.022564583,0.31355745,0.05913276,0.07205466,0.017546955,0.03459947,0.12829784
ZJ016512,0.19834483,0.22519481,0.23241684,0.0058362614,0.044907197,0.05481488,0.2110629,0.027422238
ZJ016513,0.25273544,0.1431504,0.16684386,0.0070440033,0.033483583,0.010541761,0.32373735,0.062463574
ZJ016514,0.36876053,0.038980216,0.15964556,0.10756758,0.20784168,0.048999153,0.03842595,0.029779375
ZJ016515,0.024461161,0.043604538,0.14227064,0.010135856,0.09338804,0.64093834,0.02774128,0.017460093
ZJ016516,0.15313932,0.014189702,0.30258593,0.2623458,0.07010325,0.043882478,0.012479022,0.1412745
ZJ016517,0.26568502,0.17122073,0.22130525,0.007611546,0.05847093,0.03393545,0.11672221,0.12504885
ZJ016518,0.6214152,0.012832576,0.046868745,0.07442031,0.19543177,0.006030017,0.010219242,0.032782182
ZJ016519,0.23866272,0.032400716,0.088820495,0.0078537855,0.5317813,0.054127928,0.027740527,0.018612511
ZJ016520,0.33808285,0.02616732,0.15681258,0.18659388,0.066417284,0.0122283455,0.021155478,0.19254227
ZJ016521,0.35032207,0.08867697,0.20480485,0.005046899,0.03210573,0.00921767,0.26778296,0.042042874
ZJ016522,0.58309096,0.12113469,0.060376897,0.003280495,0.1074612,0.0049440507,0.078443706,0.04126799
ZJ016523,0.41530994,0.15315905,0.1270418,0.009322574,0.023192586,0.0075109233,0.19806008,0.06640302
ZJ016524,0.1459153,0.011725317,0.23787609,0.10738067,0.062420335,0.059963964,0.007420005,0.36729833
ZJ016525,0.046215795,0.01141788,0.06726465,0.02181524,0.33084697,0.5017308,0.009148139,0.011560521
ZJ016526,0.5822787,0.1075324,0.025642391,0.0006653666,0.018083362,0.0011859915,0.25631523,0.008296592
ZJ016527,0.060510244,0.01150798,0.25925612,0.16886292,0.051789176,0.3899764,0.010647137,0.047449917
ZJ016528,0.22060648,0.12851216,0.25987688,0.0019512352,0.0116186105,0.007490173,0.32479817,0.045146383
ZJ016529,0.14921643,0.14771096,0.09341175,0.0041866833,0.038366407,0.0105846375,0.5420271,0.014495965
ZJ016530,0.13371882,0.2248254,0.15320003,0.010699866,0.15542783,0.13804676,0.13464369,0.04943755
